,ships_from_to,total_gram,total_cost_gram,distance,carbon_footprint
0,AU  ??AU,3426.09375,1357.805143,0,0
1,"AU  ??AU, NZ",358.75,103.4354429,0,0
2,BE  ??WW,264.28,75.96745095,0,0
3,BR  ??WW,10.2,0.07646,0,0
4,"CA  ??CA, EU",1095,9.302357143,0,0
5,CA  ??WW,159,2.367928571,6389,0.01
6,"CA  ??WW, EU",761.25,17.6096,6389,0.05
7,CH  ??CH,7,0.3766,0,0
8,CN  ??WW,2000,0.0067,6389,0.13
9,"CZ  ??WW, EU",700,2.338,6389,0.05
10,DE  ??DE,123389.6,699.096724,0,0
11,"DE  ??DE, EU",2465.7143,22.9378,0,0
12,"DE  ??DE, NL",25410,31.473,0,0
13,"DE  ??DE, WW",55932.237,1874.947333,0,0
14,DE  ??EU,1306,254.0758495,0,0
15,"DE  ??EU, DE",311.867,50.35647333,0,0
16,"DE  ??EU, GB",113.75,7.414012,0,0
17,"DE  ??EU, WW",7521.538,25.9476,0,0
18,DE  ??WW,6032.661,1042.080885,6389,0.39
19,"DE  ??WW, AU",29750,11.5542,6389,1.96
20,"DE  ??WW, DE",42129.348,360.0749056,6389,2.77
21,"DE  ??WW, US",11960,48.5047,6389,0.79
22,"ES  ??EU, N. America",1723.333,24.70602,2667,0.05
23,"ES  ??EU, WW",70,7.5738,9642,0.01
24,ES  ??WW,400,14.01785714,6389,0.03
25,EU  ??EU,2005.862,66.87814905,0,0
26,"EU  ??EU, US",512,16.67008,0,0
27,"EU  ??EU, WW",122461.111,18.90871429,0,0
28,EU  ??WW,14078.103,59.6172,6389,0.93
29,FR  ??EU,15,0.618,0,0
30,"FR  ??FR, EU",20003.259,413.8300271,0,0
31,"FR  ??FR, WW",583.667,42.36780476,0,0
32,FR  ??WW,2394.361,216.2735179,6389,0.16
33,GB  ??EU,4848.846,348.3985286,6158,0.3
34,"GB  ??EU, WW",290,13.601,6158,0.02
35,GB  ??GB,1788.612,580.3059524,0,0
36,"GB  ??GB, EU",7908,992.144646,6158,0.5
37,"GB  ??GB, IE",2600,78.864,0,0
38,"GB  ??GB, WW",7571.269,898.1458476,0,0
39,GB  ??WW,12533.367,1514.733314,6389,0.82
40,"GB  ??WW, EU",6726.029,1348.695617,6389,0.44
41,"GB  ??WW, GB",1343.333,406.2033333,6389,0.09
42,IT  ??WW,5223.429,39.94173333,6389,0.34
43,NL  ??EU,31367.029,1376.409326,0,0
44,"NL  ??EU, ASIA",865.714,11.0118,0,0
45,"NL  ??EU, WW",4277.773,103.6652257,0,0
46,NL  ??WW,13381.935,710.3397499,6389,0.88
47,"NL  ??WW, EU",41392.133,456.5587417,6389,2.72
48,"NL  ??WW, NL",1638,10.85188,6389,0.11
49,"NL  ??WW, US",197811.429,98.4042,6389,13.02
50,SE  ??EU,1,0.04819,7553,0
51,"US  ??N. America, WW",7630,13.34146667,0,0
52,US  ??US,16890.616,396.1861283,0,0
53,"US  ??US, WW",8820,282.624,0,0
54,US  ??WW,723.179,86.91800714,6389,0.05
55,"US  ??WW, EU",236.25,0.387535714,6389,0.03
56,WW  ??WW,920,21.04128571,6389,0.06
